file_name,pKa,pKa_energy,RMSD,energy_kcal/mol_ref,pdbid
./SampleStructures/184l/smina_184l_docking_1247.pdb,4.721246399047171,-6.480909772431817,0.4472,0.0,184l
./SampleStructures/184l/smina_184l_docking_1869.pdb,4.577530600891176,-6.2836294269472015,0.448,0.1972803454846144,184l
./SampleStructures/184l/smina_184l_docking_0285.pdb,4.354065899426377,-5.9768768355533135,0.4454,0.5040329368785024,184l
./SampleStructures/184l/smina_184l_docking_0500.pdb,4.320984883015316,-5.931466140067543,0.4344,0.5494436323642731,184l
./SampleStructures/184l/smina_184l_docking_1379.pdb,4.314426966178899,-5.922464011451567,0.4497,0.5584457609802485,184l
./SampleStructures/184l/smina_184l_docking_0377.pdb,4.302374642052572,-5.905919646127487,0.4219,0.5749901263043284,184l
./SampleStructures/184l/smina_184l_docking_0374.pdb,4.292367851223882,-5.892183208121326,0.5062,0.5887265643104911,184l
./SampleStructures/184l/smina_184l_docking_0536.pdb,4.276124655074524,-5.869885984091427,0.3755,0.6110237883403897,184l
./SampleStructures/184l/smina_184l_docking_0346.pdb,4.260782590528737,-5.848825753881003,0.4434,0.6320840185508132,184l
./SampleStructures/184l/smina_184l_docking_0613.pdb,4.2442579557873525,-5.826142195826732,0.4432,0.6547675766050816,184l
./SampleStructures/184l/smina_184l_docking_0992.pdb,4.239447479630333,-5.8195387993290675,0.4425,0.6613709731027484,184l
./SampleStructures/184l/smina_184l_docking_0300.pdb,4.1918431000728145,-5.7541917145535,0.4564,0.7267180578783154,184l
./SampleStructures/184l/smina_184l_docking_1102.pdb,4.188037187965661,-5.7489672947957775,0.4469,0.7319424776360393,184l
./SampleStructures/184l/smina_184l_docking_1535.pdb,4.178155145271367,-5.735402100002731,1.5744,0.7455076724290848,184l
./SampleStructures/184l/smina_184l_docking_1095.pdb,4.169883060528351,-5.724046913190152,0.4298,0.7568628592416644,184l
./SampleStructures/184l/smina_184l_docking_0086.pdb,4.1664538372964754,-5.719339578627016,1.5722,0.7615701938048005,184l
./SampleStructures/184l/smina_184l_docking_0446.pdb,4.165523148816207,-5.718062011739577,1.5699,0.7628477606922388,184l
