     code     1     2     3     4     5     6
1    4llx  4twp  4rfm  1e66  3fv1  5dwr  2yki
2    5c28  4rfm  2yki  4f3c  1e66  3u8n  3kr8
3    3uuo  3myg  4jia  5dwr  3ag9  4w9h  1nvq
4    3ui7  5dwr  1nvq  3o9i  4twp  4jia  3ag9
5    5c2h  5dwr  3myg  3kr8  4ivc  4rfm  3ebp
6    2v00  4rfm  3g0w  4jia  2yki  1e66  2vvn
7    3wz8  2p4y  4gid  5dwr  3o9i  2yki  3coy
8    3pww  3dd0  1nvq  4jia  3myg  4tmn  2zcq
9    3prs  3gnw  5dwr  4jia  3o9i  4rfm  2p4y
10   3uri  5dwr  3o9i  2qbp  2fvd  3ge7  3gnw
11   4m0z  5dwr  3myg  4jia  2yki  2p4y  3ge7
12   4m0y  4jia  3g0w  3myg  1nvq  5dwr  2yki
13   3qgy  4jia  3myg  1nvq  2fvd  3kr8  2p4y
14   4qd6  4ivc  2p4y  2yki  4tmn  4jia  4twp
15   4rfm  2fvd  3o9i  2p4y  4jia  2yki  3arp
16   4cr9  2yki  4rfm  4jia  1e66  3myg  4ivc
17   4cra  2p4y  1nvq  3qqs  3arp  5dwr  2fvd
18   4x6p  4jia  4rfm  4ivc  3myg  5dwr  5c2h
19   4crc  4ivc  4twp  3myg  3gnw  3arp  3p5o
20   4ty7  5dwr  4ivc  1nvq  4rfm  3myg  4ty7
21   5aba  3e93  2p4y  3coy  3myg  2cet  2qbp
22   5a7b  2p4y  2yki  3coy  3e93  4ivc  3gnw
23   4agn  5dwr  2p4y  4jia  3qqs  3dd0  3ag9
24   4agp  3uex  2p4y  5dwr  4f3c  2yki  4gid
25   4agq  2p4y  4ivc  4jia  3o9i  2zcq  5c2h
26   3bgz  2p4y  5dwr  4jia  3ebp  2yki  3myg
27   3jya  3myg  5dwr  1e66  3g0w  2yki  3kr8
28   2c3i  2p4y  4jia  3myg  3arp  5dwr  1nvq
29   4k18  3arp  2p4y  4jia  3myg  2yki  4twp
30   5dwr  2fvd  5c2h  4ivc  2p4y  2yki  4jia
31   3mss  2yki  3g0w  2p15  4gr0  3myg  5dwr
32   3k5v  4jia  2yki  3myg  5dwr  3arp  3o9i
33   3pyy  4jia  3zso  3arp  1nvq  2yki  3ebp
34   2v7a  4jia  3nw9  3o9i  4ivc  4twp  3p5o
35   4twp  4rfm  3arp  5dwr  3myg  4twp  2p4y
36   3wtj  2yki  5dwr  3ebp  2p15  3p5o  3e93
37   3zdg  4jia  2yki  3g0w  3p5o  3uex  2p15
38   3u8k  5dwr  3g0w  3u8n  2p15  3ag9  4rfm
39   4qac  3myg  3ebp  2qbp  1nvq  3gnw  2p4y
40   3u8n  5dwr  3u8n  2xb8  2p15  3g0w  3myg
41   1a30  2p15  2xb8  2qbp  3coy  3uex  2p4y
42   2qnq  3p5o  2x00  4jia  4ty7  4de1  2fvd
43   1g2k  3arp  4gid  2r9w  3dd0  3gnw  4jia
44   1eby  4gid  4jia  4tmn  2fvd  1nvq  3myg
45   3o9i  4ivc  2cet  3ag9  3o9i  3coy  1nvq
46   4lzs  3g0w  5dwr  2yki  2p15  4rfm  3u8n
47   3u5j  2p15  1e66  3arp  3p5o  3ebp  1mq6
48   4wiv  3myg  1nvq  4ivc  3ebp  5c2h  3gnw
49   4ogj  3p5o  4rfm  3nw9  2qbp  3o9i  3qqs
50   3p5o  3p5o  2p4y  3kr8  3utu  3qqs  3dd0
51   1ps3  3fv1  2xb8  2p15  2zcq  3e93  3ejr
52   3dx1  3ejr  3fv1  4f3c  2cet  2vvn  4tmn
53   3d4z  2qbp  3fv1  3zso  3g0w  4ivc  5dwr
54   3dx2  4tmn  2qbp  4f3c  2xb8  3e93  3ge7
55   3ejr  3o9i  2qbp  4gid  2r9w  3coy  2p4y
56   3l7b  3ebp  3e93  2p15  3ag9  4f3c  3g0w
57   4eky  3myg  4gr0  2fvd  5dwr  4jia  3o9i
58   3g2n  4twp  2p15  4jia  5dwr  2xb8  3myg
59   3syr  3g0w  2p15  2xb8  4f3c  4twp  4ivc
60   3ebp  4jia  2yki  3e93  3myg  5dwr  2fvd
61   2w66  2xb8  3dd0  3g0w  2p15  2r9w  2cet
62   2w4x  2p15  2cet  2p4y  3g0w  3gnw  4gid
63   2wca  3arp  3e93  2p4y  3qqs  2qbp  2yki
64   2xj7  2qbp  2p15  3e93  2vvn  3myg  3coy
65   2vvn  2xb8  2qbp  4f3c  3uex  3e93  3o9i
66   3aru  1nvq  2yki  4twp  5dwr  3myg  3ebp
67   3arv  4jia  3arp  3ag9  2fvd  1nvq  2p4y
68   3ary  4twp  4rfm  3g0w  2yki  3uex  1e66
69   3arq  4gid  2p4y  4jia  3myg  2fvd  3o9i
70   3arp  4ivc  3myg  5dwr  2p4y  3ag9  3arp
71   4ih5  3g0w  4rfm  2yki  5dwr  4jia  3myg
72   4ih7  2p15  3arp  3myg  3g0w  1e66  4jia
73   3cj4  3myg  4jia  5dwr  2p15  2qbp  3zso
74   4eo8  2qbp  2p4y  3ge7  1nvq  3o9i  4gid
75   3gnw  3dd0  4twp  2qbp  3p5o  3gnw  1nvq
76   1gpk  2vvn  1e66  2x00  2p15  5c2h  3o9i
77   1gpn  2p15  2zcq  2x00  3ejr  3o9i  4jia
78   1h23  2fvd  2zcq  4ivc  4gid  2r9w  2p4y
79   1h22  4ivc  4gid  1e66  2p4y  3coy  5dwr
80   1e66  2p15  1e66  5dwr  2cet  2fvd  4jia
81   3f3a  3fv1  4rfm  3ebp  4twp  3g0w  1e66
