     code     1     2     3     4     5     6
1    4llx  2vvn  3ejr  3f3e  1e66  4pcs  3kr8
2    5c28  2vvn  4gid  3uex  3kr8  4twp  4rfm
3    3uuo  2vvn  3f3e  1e66  2al5  3u8n  3g0w
4    3ui7  2vvn  3f3e  1e66  2cet  3g0w  4f3c
5    5c2h  2vvn  3f3e  3g0w  2al5  3fv1  2p15
6    2v00  2vvn  3u8n  2cet  1e66  3ejr  3f3e
7    3wz8  2vvn  3f3e  2al5  3fv1  3g0w  3uex
8    3pww  2vvn  3f3e  3g0w  3fv1  2xb8  2al5
9    3prs  2vvn  3f3e  2al5  3g0w  3fv1  2p15
10   3uri  2vvn  3f3e  3g0w  3fv1  2p15  2xb8
11   4m0z  2vvn  3f3e  3e93  1e66  2p15  3u8n
12   4m0y  2vvn  2qbp  3f3e  3g0w  1e66  3u8n
13   3qgy  2vvn  3f3e  2al5  3dd0  1e66  3g0w
14   4qd6  2vvn  3f3e  5c2h  2al5  2xb8  3g0w
15   4rfm  2vvn  3f3e  3g0w  2al5  3nw9  4f3c
16   4cr9  2vvn  1e66  3ejr  3u8n  3uex  2cet
17   4cra  2vvn  3f3e  3fv1  2al5  3g0w  4twp
18   4x6p  2vvn  3f3e  3fv1  2al5  3g0w  3e93
19   4crc  2vvn  3f3e  2al5  3fv1  3g0w  4rfm
20   4ty7  2vvn  3f3e  2al5  3g0w  3fv1  3gnw
21   5aba  2vvn  3f3e  3fv1  1e66  3u8n  3g0w
22   5a7b  2vvn  3f3e  3fv1  3g0w  2al5  3e93
23   4agn  2vvn  3f3e  1e66  2cet  3fv1  3kr8
24   4agp  2vvn  3f3e  3g0w  3fv1  1e66  2al5
25   4agq  2vvn  3f3e  2al5  3fv1  2cet  1e66
26   3bgz  2vvn  3f3e  3u8n  2al5  1e66  2cet
27   3jya  2vvn  3f3e  1e66  3u8n  3uex  2p15
28   2c3i  2vvn  3f3e  3kr8  1e66  3fv1  3g0w
29   4k18  2vvn  5c2h  3f3e  1e66  3g0w  2p15
30   5dwr  2vvn  3f3e  3g0w  2cet  2al5  4pcs
31   3mss  2vvn  3fv1  3f3e  1e66  3g0w  2al5
32   3k5v  2vvn  3f3e  3g0w  3fv1  1e66  3u8n
33   3pyy  2vvn  3f3e  1e66  4f3c  3kr8  3g0w
34   2v7a  2vvn  3f3e  3fv1  3g0w  2al5  1e66
35   4twp  2vvn  3f3e  4f3c  2al5  3fv1  2p15
36   3wtj  2vvn  3f3e  3uex  2yki  4rfm  3g0w
37   3zdg  2vvn  3f3e  3fv1  1e66  3kr8  3u8n
38   3u8k  2vvn  3u8n  3f3e  1e66  2al5  3uex
39   4qac  2vvn  3f3e  2al5  4w9h  3fv1  3g0w
40   3u8n  2vvn  3u8n  3fv1  1e66  3uex  3f3e
41   1a30  2vvn  3f3e  2al5  3fv1  1e66  3kr8
42   2qnq  2vvn  3f3e  2al5  3g0w  3fv1  3uex
43   1g2k  2vvn  3f3e  2al5  3fv1  3g0w  2xb8
44   1eby  2vvn  3f3e  2al5  3g0w  3fv1  2xb8
45   3o9i  2vvn  3f3e  2al5  3fv1  3g0w  2xb8
46   4lzs  2vvn  1e66  3f3e  3fv1  3kr8  3u8n
47   3u5j  2vvn  3kr8  1o3f  3f3e  2al5  3u8n
48   4wiv  2vvn  3f3e  1e66  2al5  3e93  2p4y
49   4ogj  2vvn  3f3e  2al5  3g0w  3fv1  1e66
50   3p5o  2vvn  3f3e  2al5  1e66  2cet  3fv1
51   1ps3  2vvn  3f3e  2cet  3ejr  4pcs  3fv1
52   3dx1  2vvn  3ejr  3f3e  2cet  2al5  3u8n
53   3d4z  2vvn  3f3e  2cet  3ejr  3kr8  3u8n
54   3dx2  2vvn  3ejr  2cet  3f3e  2al5  1sqa
55   3ejr  2vvn  3f3e  2cet  3ejr  2al5  1e66
56   3l7b  2vvn  3arp  3u8n  4pcs  3f3e  2cet
57   4eky  3f3e  2vvn  3ag9  2p4y  2qbp  2x00
58   3g2n  2vvn  3f3e  4f3c  3ejr  2cet  1e66
59   3syr  2vvn  3f3e  3kr8  4f3c  2al5  2cet
60   3ebp  2vvn  3f3e  2al5  1e66  2p15  2cet
61   2w66  2vvn  3f3e  2cet  3ejr  3u8n  4pcs
62   2w4x  2vvn  3f3e  2al5  2cet  1sqa  1e66
63   2wca  2vvn  3f3e  2cet  1e66  3kr8  3fv1
64   2xj7  2vvn  2cet  3f3e  3kr8  3fv1  1e66
65   2vvn  2vvn  3f3e  3u8n  2cet  3ejr  4pcs
66   3aru  2vvn  1e66  3fv1  3u8n  3kr8  2cet
67   3arv  2vvn  3f3e  3g0w  1e66  2al5  2cet
68   3ary  2vvn  3f3e  2al5  3uex  1e66  3kr8
69   3arq  2vvn  3f3e  2al5  3fv1  3ejr  3o9i
70   3arp  2vvn  3f3e  2al5  3fv1  3g0w  3uex
71   4ih5  2vvn  2fvd  3uex  1e66  3g0w  3f3e
72   4ih7  2vvn  3kr8  3f3e  1e66  3u8n  4pcs
73   3cj4  2vvn  3f3e  1e66  3u8n  2al5  2cet
74   4eo8  2vvn  3f3e  2al5  2x00  1e66  3fv1
75   3gnw  2vvn  3f3e  2al5  3g0w  3fv1  2xb8
76   1gpk  2vvn  3u8n  3f3e  1e66  3p5o  2al5
77   1gpn  2vvn  3f3e  3dd0  3u8n  3uex  2cet
78   1h23  2vvn  3f3e  3g0w  3fv1  2al5  2cet
79   1h22  2vvn  3f3e  2al5  3fv1  1e66  3g0w
80   1e66  2vvn  2qbp  2al5  1e66  3kr8  3u8n
81   3f3a  2vvn  3u8n  3f3e  2cet  1e66  2al5
82   3f3c  2vvn  3f3e  3fv1  3u8n  1e66  2al5
83   4mme  2vvn  3ag9  3f3e  3u8n  3kr8  1e66
84   3f3d  2vvn  3u8n  3ejr  2cet  3f3e  4pcs
85   3f3e  2vvn  2cet  3f3e  3ejr  3fv1  3u8n
86   2wbg  2vvn  3f3e  3u8n  2cet  3ejr  1e66
87   2cbv  2vvn  3f3e  3ejr  2cet  4pcs  3u8n
88   2j78  2vvn  2fvd  2cet  3f3e  3u8n  3ejr
89   2j7h  2vvn  3f3e  3ejr  4pcs  2cet  3u8n
90   2cet  2vvn  3f3e  1e66  4f3c  2cet  3kr8
91   3udh  2vvn  3f3e  2al5  3ejr  2cet  3kr8
92   3rsx  2vvn  3f3e  3uex  1e66  3kr8  5dwr
93   4djv  2vvn  3f3e  2al5  1e66  2p15  3u8n
94   2vkm  2vvn  3f3e  3fv1  3g0w  2al5  2p15
95   4gid  2vvn  3f3e  2al5  3g0w  3fv1  3o9i
96   4jfs  2vvn  3u8n  3f3e  3kr8  2cet  1e66
97   4j28  2vvn  1e66  3u8n  3kr8  4f3c  3f3e
98   2wvt  2vvn  3f3e  2cet  3ejr  3fv1  4pcs
99   2xii  2vvn  3f3e  3qqs  2al5  3fv1  1e66
100  4pcs  2vvn  2p4y  3f3e  1e66  1sqa  3ejr
101  3rr4  2vvn  3kr8  2yki  4rfm  2cet  4twp
102  1s38  2vvn  3kr8  3ejr  2cet  3u8n  1e66
103  1r5y  2vvn  3f3e  3kr8  2cet  1e66  3ejr
104  3gc5  2vvn  5c2h  3f3e  2cet  1e66  3ejr
105  3ge7  2vvn  3f3e  2al5  2cet  1e66  2p15
106  4dli  2vvn  3f3e  1e66  3kr8  3g0w  3u8n
107  2zb1  2vvn  3f3e  2al5  1e66  3kr8  2yki
108  4f9w  2vvn  3f3e  2yki  2al5  1e66  2p15
109  3e92  2vvn  3f3e  3fv1  2p15  1e66  3g0w
110  3e93  2vvn  3f3e  2al5  3fv1  3u8n  3g0w
111  4owm  2vvn  3f3e  3kr8  3ejr  3fv1  2cet
112  3twp  2vvn  3f3e  2cet  3ejr  2al5  3fv1
113  3r88  2vvn  3f3e  2cet  3fv1  3ejr  3kr8
114  4gkm  2vvn  3f3e  2cet  3kr8  3u8n  4gr0
115  3qqs  2vvn  3f3e  2cet  3kr8  1e66  3u8n
116  3gv9  2vvn  3myg  3f3e  2cet  3kr8  3ejr
117  3gr2  2vvn  3f3e  1e66  3uex  3u8n  2cet
118  4kz6  2vvn  3f3e  3ejr  2cet  4pcs  3u8n
119  4jxs  2vvn  3f3e  2al5  3fv1  3ejr  3kr8
120  2r9w  2vvn  3f3e  2al5  1e66  4gr0  2cet
121  2hb1  2vvn  3f3e  3ejr  1sqa  2al5  3fv1
122  1bzc  2vvn  3kr8  2cet  4f3c  3ejr  1e66
123  2qbr  2vvn  3fv1  3f3e  1e66  2cet  2yki
124  2qbq  2vvn  3f3e  2al5  2cet  1e66  3fv1
125  2qbp  2vvn  3f3e  2al5  3fv1  1e66  2cet
126  1q8t  2vvn  3f3e  1e66  3uex  3g0w  3fv1
127  1ydr  2vvn  4gr0  3f3e  3g0w  3fv1  1e66
128  1q8u  2vvn  3f3e  3g0w  3u8n  2p15  1e66
129  1ydt  2vvn  3f3e  3g0w  2yki  1e66  2cet
