#Target	enrichment
5c2h	0.0
3uri	6.0
4rfm	1.25
4ty7	6.0
4agq	2.0
5dwr	1.6666666666666667
4twp	1.1111111111111112
3u8n	3.3333333333333335
3o9i	4.285714285714286
3p5o	4.0
3ejr	0.0
3ebp	0.0
2vvn	0.0
3arp	4.0
3gnw	0.0
1e66	4.0
3f3e	4.0
2cet	4.0
4gid	3.3333333333333335
4pcs	2.0
3ge7	4.0
3e93	8.0
3qqs	2.0
2r9w	0.0
2qbp	6.0
3ag9	1.6666666666666667
4tmn	4.0
3coy	0.0
2fvd	1.4285714285714284
4ivc	5.555555555555555
4jia	3.0
1nvq	3.333333333333333
2zcq	8.0
3utu	2.0
2p4y	2.2222222222222223
3myg	0.0
1sqa	6.666666666666667
3dd0	0.0
2yki	0.0
3g0w	1.6666666666666667
2al5	4.0
4de1	0.0
3fv1	6.0
2p15	8.0
1mq6	3.3333333333333335
4f3c	8.0
1o3f	8.0
2vw5	4.0
3kr8	4.0
2x00	0.0
3nw9	4.0
3zso	2.5
2xb8	6.0
4w9h	2.0
3uex	6.0
4gr0	2.0
1u1b	0.0
