     code  logKa      score
1    4llx   2.89  -3.546787
2    5c28   5.66  -0.946879
3    3uuo   7.96  -1.422811
4    3ui7   9.00   1.174058
5    5c2h  11.09   7.158226
6    2v00   3.66   2.199871
7    3wz8   5.82   6.328043
8    3pww   7.32   8.760152
9    3prs   7.82  11.752670
10   3uri   9.00   7.168597
11   4m0z   5.19   2.827178
12   4m0y   6.46   3.449676
13   3qgy   7.80   5.311027
14   4qd6   8.64   1.009227
15   4rfm  10.05   3.611927
16   4cr9   4.10  -3.071876
17   4cra   7.22   5.644064
18   4x6p   8.30   8.769075
19   4crc   8.72   7.113520
20   4ty7   9.52   6.706558
21   5aba   2.98  -3.021252
22   5a7b   3.57   5.648202
23   4agn   3.97  -3.566984
24   4agp   4.69   3.271571
25   4agq   5.01   5.434672
26   3bgz   6.26   7.059322
27   3jya   6.89   7.792423
28   2c3i   7.60   7.173883
29   4k18   8.96   6.568572
30   5dwr  11.22   7.418316
31   3mss   4.66   5.863823
32   3k5v   6.30   8.555957
33   3pyy   6.86   5.226674
34   2v7a   8.30   9.770468
35   4twp  10.00   4.934000
36   3wtj   6.53   6.573190
37   3zdg   7.10  -3.977942
38   3u8k   8.66   5.480303
39   4qac   9.40   8.111166
40   3u8n  10.17   5.677682
41   1a30   4.30   0.635165
42   2qnq   6.11   5.649294
43   1g2k   7.96   9.717720
44   1eby   9.70   9.340633
45   3o9i  11.82  11.372676
46   4lzs   4.80   5.595501
47   3u5j   5.61   5.518981
48   4wiv   6.26   7.739330
49   4ogj   6.79   6.113327
50   3p5o   7.30   5.319617
51   1ps3   2.28  -4.399773
52   3dx1   3.58  -6.716594
53   3d4z   4.89  -3.993119
54   3dx2   6.82  -6.409063
55   3ejr   8.57  -4.300743
56   3l7b   2.40  -2.826063
57   4eky   3.52  -0.734802
58   3g2n   4.09   0.372484
59   3syr   5.10   1.032740
60   3ebp   5.91  -3.799340
61   2w66   4.05  -2.339951
62   2w4x   4.85  -0.411454
63   2wca   5.60  -3.679067
64   2xj7   6.66   3.691988
65   2vvn   7.30   3.141703
66   3aru   3.22  -4.020528
67   3arv   5.64  -5.117596
68   3ary   6.00  -4.757474
69   3arq   6.40  -4.266202
70   3arp   7.15   6.674448
71   4ih5   4.11  -3.613581
72   4ih7   5.24  -2.877132
73   3cj4   6.51   4.874754
74   4eo8   8.15   6.718907
75   3gnw   9.10   5.138312
76   1gpk   5.37  -2.396779
77   1gpn   6.48  -3.921230
78   1h23   8.35   6.250927
79   1h22   9.10   6.143747
80   1e66   9.89   7.193257
81   3f3a   4.19  -1.917111
82   3f3c   6.02   1.622707
83   4mme   6.50   1.316505
84   3f3d   7.16   5.572718
85   3f3e   7.70   4.677603
86   2wbg   4.45   3.179284
87   2cbv   5.48  -4.401522
88   2j78   6.42  -4.375643
89   2j7h   7.19   2.124186
90   2cet   8.02  -0.124990
91   3udh   2.85   2.472771
92   3rsx   4.41   0.739783
93   4djv   6.72   2.436917
94   2vkm   8.74   8.193348
95   4gid  10.77   9.684526
96   4jfs   5.27  -4.972872
97   4j28   5.70  -6.534735
98   2wvt   6.12  -4.026568
99   2xii   7.20   3.335228
100  4pcs   7.85  -3.390968
101  3rr4   4.55   2.777828
102  1s38   5.15   5.704731
103  1r5y   6.46   5.141547
104  3gc5   7.26   6.064502
105  3ge7   8.70   6.230535
106  4dli   5.62   6.096954
107  2zb1   6.32   7.674874
108  4f9w   6.94   7.083410
109  3e92   8.00   8.273531
110  3e93   8.85   6.839528
111  4owm   2.96  -2.452397
112  3twp   3.92  -5.341762
113  3r88   4.82   2.689645
114  4gkm   5.17   1.982979
115  3qqs   5.82   4.819483
116  3gv9   2.12  -5.693718
117  3gr2   2.52  -8.345664
118  4kz6   3.10  -3.733622
119  4jxs   4.74  -3.157409
120  2r9w   5.10  -4.530429
121  2hb1   3.80   3.818375
122  1bzc   4.92   2.205087
123  2qbr   6.33   6.014794
124  2qbq   7.44   5.797364
125  2qbp   8.40   5.659527
126  1q8t   4.76   6.703075
127  1ydr   5.52   0.921326
128  1q8u   5.96   4.866030
129  1ydt   7.32   8.540157
130  3ag9   8.05   8.515750
131  3fcq   2.77  -7.163362
132  1z9g   5.64   0.990658
133  1qf1   7.32   3.693829
134  5tmn   8.04   2.727063
135  4tmn  10.17   4.520621
136  4ddk   2.29   2.219603
137  4ddh   3.32   4.121491
138  3ivg   4.30   3.405581
139  3coz   5.57   3.399872
140  3coy   6.02   4.714869
141  3pxf   4.43  -0.298985
142  4eor   6.30   6.415298
143  2xnb   6.83   8.304099
144  1pxn   7.15   8.510674
145  2fvd   8.52   1.420890
146  4k77   6.63   1.328594
147  4e5w   7.66   6.433879
148  4ivb   8.72   6.186685
149  4ivd   9.52   6.638685
150  4ivc  10.00   5.314434
151  4f09   6.70   6.013307
152  4gfm   7.22   4.063450
153  4hge   7.92   8.568948
154  4e6q   8.36   7.682336
155  4jia   9.22   6.812879
156  2brb   4.86   6.652827
157  2br1   5.14   6.719193
158  3jvr   5.72   4.346495
159  3jvs   6.54  -1.728888
160  1nvq   8.25   7.002421
161  3acw   4.76   5.994902
162  4ea2   6.44   5.508163
163  2zcr   6.87   2.876392
164  2zy1   7.40   6.390945
165  2zcq   8.82   1.286850
166  1bcu   3.28  -3.031693
167  3bv9   5.36   1.437556
168  1oyt   7.24   5.585241
169  2zda   8.40   4.590288
170  3utu  10.92   6.628128
171  3u9q   4.38   0.176583
172  2yfe   6.63   6.884376
173  3fur   8.00  11.192983
174  3b1m   8.48   9.295191
175  2p4y   9.00  10.665195
176  3uo4   6.52   7.981325
177  3up2   7.40   9.419701
178  3e5a   8.23   4.584169
179  2wtv   8.74   9.794553
180  3myg  10.70   4.311663
181  3kgp   2.57  -6.114307
182  1c5z   4.01   3.884883
183  1o5b   5.77   0.615509
184  1owh   7.40   3.682189
185  1sqa   9.21   3.258460
186  4jsz   2.30  -7.848858
187  3kwa   4.08 -10.936569
188  2weg   6.50  -6.282976
189  3ryj   7.80  -5.502834
190  3dd0   9.00  -0.479682
191  2xdl   3.10  -3.705094
192  3b27   5.16   4.880068
193  1yc1   6.17   4.719572
194  3rlr   7.52   8.115606
195  2yki   9.46   8.326863
196  1z95   7.12   9.331307
197  3b68   8.40   8.381372
198  3b5r   8.77   7.281880
199  3b65   9.27   8.233365
200  3g0w   9.52   9.281580
201  4u4s   2.92  -3.221190
202  1p1q   4.89  -1.285157
203  1syi   5.44   3.265802
204  1p1n   6.80   4.999291
205  2al5   8.40   5.006063
206  3g2z   2.36  -8.597153
207  3g31   2.89  -6.862747
208  4de2   4.12   4.048056
209  4de3   5.52   2.897100
210  4de1   5.96   2.146930
211  1vso   4.72   0.379223
212  4dld   5.82   3.873014
213  3gbb   6.90   4.376265
214  3fv2   8.11   3.735069
215  3fv1   9.30   3.463617
216  4mgd   4.69   7.742796
217  2qe4   7.96   5.519883
218  1qkt   9.04   5.211934
219  2pog   9.54   6.509369
220  2p15  10.30   9.026257
221  2y5h   5.79   3.860328
222  1lpg   7.09   1.688083
223  2xbv   8.43   6.802771
224  1z6e   9.72   7.603552
225  1mq6  11.15   8.459346
226  1nc3   5.00   3.402510
227  1nc1   6.12  -2.582522
228  1y6r  10.11   5.089687
229  4f2w  11.30   6.430091
230  4f3c  11.82   7.840338
231  1uto   2.27  -6.163820
232  4abg   3.57   2.903358
233  3gy4   5.10   2.849901
234  1k1i   6.58  -1.710753
235  1o3f   7.96   2.767559
236  2yge   5.06   3.544689
237  2fxs   6.06  -1.423751
238  2iwx   6.68   0.098453
239  2wer   7.05  -0.013047
240  2vw5   8.52   3.611064
241  4kzq   6.10   4.099523
242  4kzu   6.50   4.570067
243  4j21   7.41   7.764041
244  4j3l   7.80   7.568593
245  3kr8   8.10   8.127727
246  2ymd   3.16   1.556217
247  2wnc   6.32   2.610999
248  2xys   7.42  -3.581954
249  2wn9   8.52  -2.241811
250  2x00  11.33   4.199458
251  3ozt   4.13   5.215471
252  3ozs   5.33   6.273483
253  3oe5   6.88   6.710237
254  3oe4   7.47   2.972281
255  3nw9   9.00   3.404335
256  3ao4   2.07  -3.562716
257  3zt2   2.84   2.225056
258  3zsx   3.28   5.352342
259  4cig   3.67   4.244705
260  3zso   5.12   7.128382
261  3n7a   3.70   1.311127
262  4ciw   4.82   2.183352
263  3n86   5.64   6.991393
264  3n76   6.85   4.726510
265  2xb8   7.59   5.246743
266  4bkt   3.62   1.975383
267  4w9c   4.65   4.805997
268  4w9l   5.02   7.574637
269  4w9i   5.96   5.955563
270  4w9h   6.73   6.712495
271  3nq9   4.03  -4.456807
272  3ueu   5.24   0.483476
273  3uev   5.89   2.624155
274  3uew   6.31   1.096317
275  3uex   6.92   0.252088
276  3lka   2.82  -2.189760
277  3ehy   5.85   0.816021
278  3tsk   7.17   7.526282
279  3nx7   8.10   4.271280
280  4gr0   9.55   7.894915
281  3dxg   2.40  -3.721116
282  3d6q   3.76  -4.140877
283  1w4o   5.22  -1.150386
284  1o0h   5.92  -0.212542
285  1u1b   7.80   2.629026

Summary of the scoring power: ===================================
The regression equation: logKa = 0.36 + 5.14 * Score
Number of favorable sample (N) = 215
Pearson correlation coefficient (R) = 0.464
Standard deviation in fitting (SD) = 1.76
=================================================================

Template command for running the bootstrap in R program==========

rm(list=ls());
require(boot);
data_all<-read.table("./Results/CASF2016_Docking_Energy30RMSD2.5/ScoringPower_processed_score",header=TRUE);
aa<-c(1:nrow(data_all));

mycore<-function(x,indices)
{
data_1<-matrix(NA,215,2);
for(i in 1:215);
    {
        data_1[i,1]=data_all[x[indices][i],2];
        data_1[i,2]=data_all[x[indices][i],3];
    }
        data_2<-data.frame(data_1);
        names(data_2)<-c("a","b");
        cor(data_2$a,data_2$b);
};

data.boot<-boot(aa,mycore,R=10000,stype="i",sim="ordinary");
sink("./Results/CASF2016_Docking_Energy30RMSD2.5/ScoringPower-ci.results");
a<-boot.ci(data.boot,conf=0.9,type=c("bca"));
print(a);
sink();

=================================================================
